City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,igarka,67.4667,86.5833,51.31,57,12,7.83,RU,1689560180
341,grand baie,-20.0182,57.5802,70.45,86,87,1.01,MU,1689560181
342,papao,-17.75,-149.55,83.88,64,3,2.73,PF,1689560181
343,sinabang,2.4803,96.3801,80.98,80,99,4.43,ID,1689560181
344,vilyuysk,63.7553,121.6247,63.36,40,100,9.75,RU,1689560182
345,kiri buru,22.0833,85.35,76.14,92,100,3.24,IN,1689560182
346,urbana,40.1106,-88.2073,75.02,84,0,4.61,US,1689560182
347,ostersund,63.1792,14.6357,57.61,35,20,45.01,SE,1689560183
348,la'ie,21.6477,-157.9253,87.76,72,3,1.99,US,1689560183
349,salina cruz,16.1667,-95.2,83.57,70,98,14.83,MX,1689560183
350,weno,7.4515,151.8468,78.75,94,100,0.0,FM,1689560074
351,meulaboh,4.1363,96.1285,78.48,81,100,2.46,ID,1689560183
352,shiyan,32.6475,110.7781,85.1,59,0,3.33,CN,1689560184
353,christchurch,-43.5333,172.6333,63.48,61,8,3.44,NZ,1689559959
354,mehtar lam,34.6714,70.2094,85.89,63,7,1.25,AF,1689560184
355,betio village,1.358,172.9211,80.64,72,84,7.16,KI,1689560185
356,lodja,-3.4833,23.4333,76.23,46,58,0.72,CD,1689560185
357,tosontsengel,48.7567,98.2839,70.09,39,0,5.53,MN,1689560185
358,trincomalee,8.5711,81.2335,83.59,71,91,17.58,LK,1689560186
359,port augusta,-32.5,137.7667,60.04,39,0,4.16,AU,1689560186
360,nelson bay,-32.7167,152.15,66.09,83,51,3.0,AU,1689560186
361,san nicolas,18.1725,120.5953,89.51,66,75,11.5,PH,1689560186
362,mirebalais,18.8333,-72.1053,83.12,83,98,2.24,HT,1689560187
